Date,10CM soil moisture(%),10CM soil temperature(°C),Temperature(°C),Humidity(%),dew point T(°C),10cm soil temperature(°C),precipitation(mm)
1999-01-01,,1.065217391304348,-2.9416666666666664,50.75,-12.6625,0.375,0.0
1999-01-02,,1.4375,0.6291666666666665,59.875,-6.95,0.975,0.0
1999-01-03,,2.1333333333333333,1.2083333333333333,61.375,-6.5875,1.9,0.0
1999-01-04,,1.9333333333333331,-0.1791666666666666,58.0,-9.2,1.225,0.0
1999-01-05,,1.8208333333333333,0.3333333333333333,63.0,-6.8875,1.05,0.0
1999-01-06,,1.8041666666666665,1.2833333333333332,78.125,-2.35,1.65,0.0
1999-01-07,,1.6666666666666667,-2.8166666666666664,38.25,-15.8875,1.4,0.0
1999-01-08,,0.2583333333333333,-7.1000000000000005,32.75,-19.65,0.15,0.0
1999-01-09,,-0.6666666666666666,-7.85,34.75,-20.7875,-0.6,0.0
1999-01-10,,-1.0208333333333333,-5.55,33.5,-19.6625,-0.8250000000000001,0.0
1999-01-11,,-0.8125,-3.725,34.875,-17.2,-0.7,0.0
1999-01-12,,-0.8708333333333332,-4.129166666666666,52.875,-12.75,-0.725,0.0
1999-01-13,,-0.775,-2.2958333333333334,58.0,-9.85,-0.425,0.0
1999-01-14,,-0.5375,-1.1708333333333334,50.75,-10.6375,-0.25,0.0
1999-01-15,,-0.1041666666666666,-0.9958333333333332,48.125,-10.5375,0.175,0.0
1999-01-16,,-0.1166666666666666,-0.2708333333333332,51.375,-9.775,0.075,0.0
1999-01-17,,-0.2125,-2.670833333333333,56.875,-11.425,-0.05,0.0
1999-01-18,,0.0291666666666666,-0.8874999999999998,58.0,-9.1875,0.0,0.0
1999-01-19,,0.67,2.858333333333333,60.25,-4.175,0.55,0.0
1999-01-20,,0.7869565217391304,-0.3249999999999999,45.5,-11.1875,0.55,0.0
1999-01-21,,0.5291666666666667,-1.8083333333333331,57.25,-9.8375,0.4,0.0
1999-01-22,,1.3333333333333333,2.591666666666667,60.0,-4.725,0.9,0.0
1999-01-23,,1.631578947368421,3.454166666666667,74.625,-1.0625,1.775,0.2
1999-01-24,,3.808695652173913,6.195833333333333,76.125,2.1625,4.4,1.0
1999-01-25,,3.358333333333333,3.5125,67.0,-3.7375,3.425,0.1
1999-01-26,,2.766666666666667,2.545833333333333,41.75,-9.625,3.1500000000000004,0.0
1999-01-27,,3.358333333333333,4.591666666666667,58.375,-3.525,3.7,0.0
1999-01-28,,3.125,0.075,28.0,-16.425,2.775,0.0
1999-01-29,,2.0791666666666666,-2.6125000000000003,42.625,-13.5625,1.725,0.0
1999-01-30,,1.0458333333333334,-4.079166666666667,49.625,-14.2875,0.6,0.0
1999-01-31,,0.9625,-2.0,46.125,-14.6625,0.625,0.0
1999-02-01,,1.5375,0.5166666666666666,49.375,-9.3625,1.15,0.0
1999-02-02,,1.1875,-1.8458333333333328,48.25,-11.3125,0.925,0.0
1999-02-03,,0.3916666666666666,-6.866666666666667,37.625,-18.9375,0.375,0.0
1999-02-04,,-0.2083333333333333,-6.470833333333334,53.375,-15.175,-0.4,0.0
1999-02-05,,0.0208333333333333,-1.1791666666666667,46.125,-11.8375,0.0249999999999999,0.0
1999-02-06,,0.3333333333333333,-0.4791666666666667,54.5,-10.675,0.125,0.0
1999-02-07,,0.875,2.15,52.0,-7.4375,0.725,0.0
1999-02-08,,1.9458333333333333,3.220833333333333,58.625,-5.8375,1.875,0.0
1999-02-09,,2.404166666666667,2.0541666666666667,50.125,-9.0625,2.075,0.0
1999-02-10,,1.6749999999999998,3.345833333333333,57.875,-4.6625,2.825,0.0
1999-02-11,,1.4958333333333331,2.191666666666667,53.125,-6.574999999999999,4.025,0.0
1999-02-12,,1.5,-2.45,41.75,-14.375,2.3,0.0
1999-02-13,,1.5,-3.654166666666667,31.0,-19.2625,0.85,0.0
1999-02-14,,1.5,-0.8083333333333332,42.625,-12.1625,1.2999999999999998,0.0
1999-02-15,,1.5,3.6458333333333335,62.0,-3.475,3.6,0.0
1999-02-16,,1.5,3.566666666666667,62.875,-4.175,4.025,0.0
1999-02-17,,1.5,6.570833333333333,65.5,0.3625,4.575,0.0
1999-02-18,,1.5,7.1625000000000005,47.75,-4.762499999999999,6.275,0.2
1999-02-19,,1.5,0.1208333333333332,40.75,-12.1375,4.35,0.0
1999-02-20,,2.770833333333333,-1.6041666666666667,41.875,-13.1125,3.15,0.0
1999-02-21,,2.825,-1.6333333333333335,44.5,-13.1,2.7,0.0
1999-02-22,,3.1291666666666664,1.45,52.125,-7.825,3.1500000000000004,0.0
1999-02-23,,3.6208333333333336,3.375,57.375,-5.4875,3.825,0.0
1999-02-24,,4.820833333333334,4.425,84.625,2.0375,5.05,4.0
1999-02-25,,5.883333333333333,5.666666666666667,75.125,0.6499999999999999,6.35,0.3
1999-02-26,,4.7625,2.9,87.5,1.1875,4.925,1.0
1999-02-27,,4.208333333333333,1.1583333333333334,40.5,-12.6125,4.275,0.0
1999-02-28,,3.4250000000000003,-8.326672684688674e-17,30.125,-16.15,3.475,0.0
1999-03-01,,4.5625,4.316666666666666,52.75,-5.45,4.775,0.0
1999-03-02,,6.633333333333333,8.204166666666667,40.625,-6.4125,6.95,0.0
1999-03-03,,6.833333333333333,7.0,43.25,-6.1125,6.725,0.0
1999-03-04,,7.720833333333334,8.354166666666666,48.25,-4.775,7.65,0.0
1999-03-05,,8.887500000000001,8.35,49.375,-3.8875,8.875,1.6
1999-03-06,,7.649999999999999,5.25,53.125,-3.6125,7.5,0.0
1999-03-07,,8.591666666666667,6.666666666666667,46.25,-4.2875000000000005,8.625,0.0
1999-03-08,,6.616666666666667,2.5291666666666663,62.625,-3.9,6.425000000000001,0.0
1999-03-09,,6.175,2.8375,58.375,-5.325,5.8,0.0
1999-03-10,,6.895833333333333,5.708333333333333,46.0,-6.4125,6.85,0.0
1999-03-11,,8.125,5.5875,37.125,-10.075,8.0,0.0
1999-03-12,,7.916666666666667,4.683333333333334,55.875,-5.425,7.875,0.0
1999-03-13,,8.170833333333333,7.7,54.75,-3.3875,8.9,0.0
1999-03-14,,8.35,7.641666666666667,65.5,1.0125000000000002,8.825,4.3
1999-03-15,,8.1625,6.570833333333333,74.0,1.9,8.075,35.1
1999-03-16,,8.104166666666666,6.754166666666666,63.5,-1.7875,7.975,0.0
1999-03-17,,9.970833333333331,10.4125,59.75,1.825,9.975,0.0
1999-03-18,,10.320833333333336,11.891666666666666,76.625,7.7125,10.75,11.3
1999-03-19,,9.9,6.645833333333333,67.75,1.35,9.35,13.8
1999-03-20,,7.329166666666667,3.95,52.375,-5.5125,7.2,0.5
1999-03-21,,6.383333333333333,2.1416666666666666,62.125,-4.35,6.075,0.0
1999-03-22,,5.729166666666667,0.2958333333333333,32.0,-14.8125,5.45,0.0
1999-03-23,,6.7875000000000005,3.820833333333333,36.0,-10.7625,6.775,0.0
1999-03-24,,6.183333333333334,2.5791666666666666,74.25,-2.2125,5.725,7.300000000000001
1999-03-25,,7.587499999999999,7.454166666666667,83.75,4.7375,7.875,0.2
1999-03-26,,8.279166666666667,8.041666666666666,90.75,6.8,8.275,13.5
1999-03-27,,9.875,9.25,57.625,-1.4000000000000004,10.2,0.7
1999-03-28,,8.620833333333334,5.529166666666666,26.5,-13.025,8.4,0.0
1999-03-29,,7.633333333333333,3.8875,41.375,-9.825,7.625,0.0
1999-03-30,,9.479166666666666,7.291666666666667,55.625,-2.475,9.7,0.0
1999-03-31,,10.679166666666667,8.895833333333334,57.625,-1.475,10.7,0.0
1999-04-01,,11.083333333333334,9.808333333333334,66.125,3.1375,10.9,6.8
1999-04-02,,12.045833333333334,9.766666666666667,71.5,4.7625,11.875,2.3
1999-04-03,,9.720833333333331,7.054166666666667,44.625,-5.4875,9.675,0.0
1999-04-04,,10.0625,8.700000000000001,48.625,-4.175,10.45,0.0
1999-04-05,,11.4,9.708333333333334,54.25,0.4125,12.075,7.0
1999-04-06,,11.2125,7.579166666666667,71.875,2.8875,10.95,5.3
1999-04-07,,10.45,7.104166666666667,52.25,-3.4375,10.25,0.0
1999-04-08,,12.245833333333332,10.8125,49.875,-0.9125,12.55,0.0
1999-04-09,,11.733333333333334,9.8125,73.875,4.9125,11.625,16.2
1999-04-10,,11.645833333333334,13.158333333333331,76.5,8.8875,12.45,24.7
1999-04-11,,13.675,14.475,53.625,4.375,14.4,0.0
1999-04-12,,12.016666666666666,10.391666666666667,80.125,7.1000000000000005,12.2,14.0
1999-04-13,,10.391666666666667,7.629166666666666,68.0,2.2875,9.775,0.2
1999-04-14,,10.1,9.370833333333334,36.875,-5.8375,10.25,0.0
1999-04-15,,12.125,11.575,37.375,-4.8375,12.4,0.0
1999-04-16,,14.508333333333333,14.104166666666666,42.25,0.975,14.55,0.0
1999-04-17,,15.808333333333332,15.633333333333333,52.25,3.7,15.875,0.0
1999-04-18,,17.5125,17.166666666666668,48.625,4.7625,17.65,0.0
1999-04-19,,18.1625,18.620833333333334,52.25,5.9,18.875,0.0
1999-04-20,,17.945833333333333,15.8,55.25,6.5875,18.575000000000003,0.0
1999-04-21,,18.02083333333333,15.125,60.125,6.85,18.275,0.0
1999-04-22,,18.1,18.245833333333334,56.75,7.2,19.3,0.0
1999-04-23,,19.179166666666667,18.683333333333334,50.875,7.6625,20.15,0.0
1999-04-24,,20.02083333333333,18.566666666666663,54.25,7.7375,20.25,0.0
1999-04-25,,20.42083333333333,17.6875,53.125,5.775,20.125,0.0
1999-04-26,,21.0375,18.28333333333333,46.75,4.9375,20.475,0.0
1999-04-27,,20.85,18.375,51.75,7.125,20.7,0.1
1999-04-28,,18.03333333333333,12.395833333333334,61.25,5.3375,18.1,4.800000000000001
1999-04-29,,17.287499999999998,12.266666666666666,65.25,2.9875,17.3,0.0
1999-04-30,,17.995833333333334,15.1875,48.875,0.675,18.525,0.0
1999-05-01,,15.783333333333331,16.483333333333334,34.875,-1.4250000000000005,19.075,0.0
1999-05-02,,17.743478260869566,16.404166666666665,35.625,0.4874999999999999,19.375,0.0
1999-05-03,,17.116666666666667,14.770833333333334,78.375,10.925,17.2,55.3
1999-05-04,,17.091666666666665,16.795833333333334,66.75,9.1875,18.075,14.1
1999-05-05,,18.416666666666668,15.45,62.0,7.3375,18.8,0.0
1999-05-06,,18.883333333333333,16.229166666666668,53.25,3.85,19.325,0.0
1999-05-07,,19.1875,19.029166666666665,42.75,5.2375,20.450000000000003,0.0
1999-05-08,,20.35,19.383333333333333,49.75,6.775,21.475,0.0
1999-05-09,,21.141666666666666,19.495833333333334,43.875,4.35,21.825,0.0
1999-05-10,,20.0375,16.029166666666665,57.125,7.4375,21.025,0.3
1999-05-11,,20.429166666666667,16.820833333333333,58.375,7.7625,21.2,0.0
1999-05-12,,21.3625,19.245833333333334,51.25,6.775,21.975,0.0
1999-05-13,,21.620833333333334,19.129166666666663,57.125,9.1875,22.575,0.0
1999-05-14,,21.28333333333333,18.375,58.0,8.9375,22.325,0.0
1999-05-15,,20.2,17.291666666666668,72.625,11.8875,21.0,1.0
1999-05-16,,21.0875,18.92083333333333,63.0,9.65,22.025,0.0
1999-05-17,,21.5875,18.383333333333333,59.375,9.3125,22.55,0.0
1999-05-18,,18.816666666666663,15.0625,78.5,11.35,19.2,21.6
1999-05-19,,18.279166666666665,15.070833333333333,72.75,10.0875,18.1,2.2
1999-05-20,,18.308333333333334,17.566666666666666,42.125,3.2125,18.675,0.0
1999-05-21,,20.1375,18.70833333333333,53.875,7.1625,21.15,0.0
1999-05-22,,21.991666666666664,20.904166666666665,49.625,7.525,22.975,0.0
1999-05-23,,21.425,18.35833333333333,58.375,9.8875,21.475,0.4
1999-05-24,,19.625,15.9625,89.625,14.5,19.05,40.3
1999-05-25,,19.39583333333333,16.904166666666665,69.5,10.5625,20.05,0.0
1999-05-26,,19.5875,17.175,72.75,11.85,20.35,6.5
1999-05-27,,19.45416666666667,16.454166666666666,71.125,10.6,19.65,4.4
1999-05-28,,18.816666666666663,15.1875,46.5,3.2625,19.7,0.0
1999-05-29,,20.254166666666663,17.599999999999998,50.625,4.75,21.5,0.0
1999-05-30,,20.97083333333333,19.091666666666665,52.75,7.3125,22.8,0.0
1999-05-31,,22.166666666666668,20.15833333333333,56.25,8.675,23.8,0.0
1999-06-01,,22.129166666666663,19.829166666666666,78.0,15.825,22.575,1.0
1999-06-02,,20.65833333333333,18.679166666666667,90.75,17.1625,21.0,12.6
1999-06-03,,22.166666666666668,21.4375,73.125,15.825,23.125,0.0
1999-06-04,,24.204166666666666,23.125,65.125,14.9375,25.375,0.0
1999-06-05,,24.204166666666666,22.34583333333333,66.375,15.65,25.925,0.0
1999-06-06,,23.9125,21.945833333333336,74.875,17.025,24.85,0.4
1999-06-07,,24.2125,21.941666666666663,69.75,15.7,25.075,4.3
1999-06-08,,24.245833333333334,21.9875,55.875,11.1625,25.45,0.0
1999-06-09,,23.9875,21.025,57.0,10.8375,25.9,0.0
1999-06-10,,24.85833333333333,21.47083333333333,61.75,13.0625,26.175,0.0
1999-06-11,,26.120833333333334,23.27916666666667,55.375,12.0625,27.05,0.0
1999-06-12,,26.75,23.7,52.875,11.35,27.375,0.0
1999-06-13,,27.17083333333333,24.3,52.625,12.35,27.675,0.0
1999-06-14,,26.816666666666663,25.34166666666667,55.5,13.7625,28.45,0.0
1999-06-15,,27.59583333333333,25.666666666666668,56.0,14.7625,28.975,0.0
1999-06-16,,25.604166666666668,21.22083333333333,72.875,16.35,24.825,80.6
1999-06-17,,21.954166666666666,19.05,73.5,13.875,21.450000000000003,5.3
1999-06-18,,22.52083333333333,19.9375,69.625,13.6375,22.55,1.2
1999-06-19,,24.308333333333334,20.825,68.5,13.925,25.275,0.0
1999-06-20,,25.625,21.72083333333333,66.375,14.3875,26.200000000000003,0.0
1999-06-21,,25.90833333333333,21.175,70.75,15.3,26.025,0.0
1999-06-22,,26.4125,22.025,61.0,13.8875,27.025,0.0
1999-06-23,,23.566666666666663,17.954166666666666,88.875,16.1375,22.275,90.5
1999-06-24,,22.4875,21.616666666666664,75.625,16.675,22.325,4.1
1999-06-25,,23.72083333333333,22.2125,70.75,16.325,24.4,0.0
1999-06-26,,24.27083333333333,22.875,75.625,18.0625,24.825000000000003,0.0
1999-06-27,,26.6625,25.52083333333333,67.625,18.4875,27.7,0.0
1999-06-28,,25.72083333333333,23.275,78.25,19.15,26.0,0.0
